"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.01.2010","8,07","7,79","8,07","7,79","628,70K","4,13%"
"05.01.2010","8,08","8,06","8,08","7,97","184,04K","0,12%"
"06.01.2010","8,08","8,08","8,08","7,97","117,39K","0,00%"
"07.01.2010","8,00","8,02","8,03","7,96","137,55K","-0,99%"
"08.01.2010","7,91","7,98","8,00","7,83","96,58K","-1,13%"
"11.01.2010","7,80","7,88","7,95","7,59","158,77K","-1,39%"
"12.01.2010","7,87","7,73","7,87","7,71","81,88K","0,90%"
"13.01.2010","7,87","7,83","7,87","7,72","289,98K","0,00%"
"14.01.2010","7,73","7,80","7,81","7,69","178,22K","-1,78%"
"15.01.2010","7,77","7,73","7,77","7,55","180,74K","0,52%"
"18.01.2010","7,77","7,70","7,80","7,65","75,45K","0,00%"
"19.01.2010","7,74","7,69","7,78","7,65","213,30K","-0,39%"
"20.01.2010","7,54","7,67","7,67","7,37","352,63K","-2,58%"
"21.01.2010","7,35","7,57","7,57","7,32","195,76K","-2,52%"
"22.01.2010","7,49","7,33","7,51","7,30","98,66K","1,90%"
"26.01.2010","7,47","7,28","7,51","7,25","210,51K","-0,27%"
"27.01.2010","7,45","7,45","7,45","7,31","115,77K","-0,27%"
"28.01.2010","7,51","7,49","7,51","7,37","450,22K","0,81%"
"29.01.2010","7,56","7,51","7,66","7,41","504,35K","0,67%"
"01.02.2010","7,64","7,56","7,64","7,49","271,99K","1,06%"
"02.02.2010","7,72","7,67","7,72","7,56","215,14K","1,05%"
"03.02.2010","7,64","7,71","7,71","7,57","145,89K","-1,04%"
"04.02.2010","7,58","7,54","7,61","7,27","380,10K","-0,79%"
"05.02.2010","7,40","7,44","7,44","7,05","491,42K","-2,37%"
"08.02.2010","7,24","7,32","7,39","7,15","406,93K","-2,16%"
"09.02.2010","7,49","7,33","7,50","7,33","232,45K","3,45%"
"10.02.2010","7,54","7,45","7,56","7,40","289,28K","0,67%"
"11.02.2010","7,46","7,51","7,66","7,41","236,87K","-1,06%"
"12.02.2010","7,62","7,53","7,62","7,41","98,83K","2,14%"
"17.02.2010","7,79","7,54","7,80","7,54","109,62K","2,23%"
"18.02.2010","7,80","7,72","7,80","7,64","61,13K","0,13%"
"19.02.2010","7,78","7,62","7,80","7,62","120,81K","-0,26%"
"22.02.2010","7,63","7,80","7,80","7,61","287,91K","-1,93%"
"23.02.2010","7,45","7,56","7,56","7,35","446,88K","-2,36%"
"24.02.2010","7,44","7,40","7,44","7,35","246,28K","-0,13%"
"25.02.2010","7,45","7,37","7,46","7,24","248,56K","0,13%"
"26.02.2010","7,61","7,43","7,61","7,32","287,45K","2,15%"
"01.03.2010","7,61","7,64","7,64","7,56","91,93K","0,00%"
"02.03.2010","7,68","7,61","7,68","7,56","180,95K","0,92%"
"03.03.2010","7,76","7,69","7,76","7,63","209,13K","1,04%"
"04.03.2010","7,77","7,77","7,80","7,68","86,81K","0,13%"
"05.03.2010","7,83","7,77","7,83","7,73","118,18K","0,77%"
"08.03.2010","7,77","7,75","7,80","7,72","65,18K","-0,77%"
"09.03.2010","7,83","7,73","7,85","7,67","614,34K","0,77%"
"10.03.2010","7,85","7,77","7,89","7,77","530,28K","0,26%"
"11.03.2010","7,85","7,83","7,85","7,74","310,29K","0,00%"
"12.03.2010","7,80","7,88","7,88","7,71","112,41K","-0,64%"
"15.03.2010","7,84","7,75","7,84","7,72","139,24K","0,51%"
"16.03.2010","7,84","7,79","7,85","7,79","77,30K","0,00%"
"17.03.2010","7,80","7,85","7,85","7,71","280,17K","-0,51%"
"18.03.2010","7,75","7,74","7,77","7,65","222,85K","-0,64%"
"19.03.2010","7,71","7,71","7,74","7,64","377,50K","-0,52%"
"22.03.2010","7,78","7,64","7,78","7,59","166,64K","0,91%"
"23.03.2010","7,77","7,75","7,77","7,64","57,99K","-0,13%"
"24.03.2010","7,59","7,64","7,68","7,59","220,23K","-2,32%"
"25.03.2010","7,69","7,64","7,70","7,59","235,39K","1,32%"
"26.03.2010","7,77","7,68","7,77","7,63","449,36K","1,04%"
"29.03.2010","7,88","7,75","7,88","7,74","379,29K","1,42%"
"30.03.2010","7,88","7,87","7,89","7,80","214,07K","0,00%"
"31.03.2010","7,95","7,87","7,97","7,86","622,73K","0,89%"
"01.04.2010","8,04","7,97","8,09","7,97","456,72K","1,13%"
"05.04.2010","8,09","8,04","8,09","8,01","216,75K","0,62%"
"06.04.2010","8,04","7,91","8,09","7,91","76,32K","-0,62%"
"07.04.2010","8,00","8,01","8,01","7,90","74,79K","-0,50%"
