"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.01.2010","13,68","13,12","13,71","13,12","1,42M","4,35%"
"05.01.2010","13,51","13,83","14,12","13,46","992,29K","-1,24%"
"06.01.2010","13,68","13,64","13,86","13,55","808,17K","1,26%"
"07.01.2010","13,21","13,54","13,77","13,11","2,51M","-3,44%"
"08.01.2010","13,00","13,27","13,29","12,70","2,51M","-1,59%"
"11.01.2010","12,74","13,13","13,18","12,71","1,43M","-2,00%"
"12.01.2010","13,03","12,69","13,07","12,59","2,28M","2,28%"
"13.01.2010","12,86","13,06","13,14","12,86","1,82M","-1,30%"
"14.01.2010","12,82","12,86","13,07","12,72","1,97M","-0,31%"
"15.01.2010","12,69","12,78","12,81","12,53","1,46M","-1,01%"
"18.01.2010","12,67","12,82","12,82","12,64","693,40K","-0,16%"
"19.01.2010","13,01","12,50","13,03","12,29","1,70M","2,68%"
"20.01.2010","12,78","12,71","12,95","12,49","1,91M","-1,77%"
"21.01.2010","12,64","12,78","12,85","12,36","1,16M","-1,10%"
"22.01.2010","12,74","12,48","12,81","12,40","1,19M","0,79%"
"26.01.2010","12,06","12,64","12,64","12,06","2,02M","-5,34%"
"27.01.2010","12,61","12,02","12,63","11,97","2,21M","4,56%"
"28.01.2010","12,46","12,66","12,80","12,31","1,31M","-1,19%"
"29.01.2010","12,25","12,49","12,63","12,17","1,14M","-1,69%"
"01.02.2010","12,32","12,32","12,64","12,22","1,10M","0,57%"
"02.02.2010","12,55","12,44","12,62","12,42","860,26K","1,87%"
"03.02.2010","12,73","12,60","12,92","12,49","1,13M","1,43%"
"04.02.2010","12,27","12,58","12,60","11,92","1,82M","-3,61%"
"05.02.2010","11,95","12,09","12,93","11,48","1,93M","-2,61%"
"08.02.2010","12,09","12,09","12,09","11,61","1,70M","1,17%"
"09.02.2010","12,04","12,13","12,49","11,92","1,88M","-0,41%"
"10.02.2010","11,98","12,10","12,14","11,92","831,62K","-0,50%"
"11.02.2010","12,24","12,05","12,24","11,75","1,02M","2,17%"
"12.02.2010","11,91","12,09","12,20","11,75","1,22M","-2,70%"
"17.02.2010","12,51","12,24","12,66","12,23","1,91M","5,04%"
"18.02.2010","12,39","12,35","12,48","12,22","1,11M","-0,96%"
"19.02.2010","12,43","12,36","12,43","12,24","786,45K","0,32%"
"22.02.2010","12,55","12,44","12,67","12,42","911,13K","0,97%"
"23.02.2010","12,40","12,45","12,60","12,24","1,64M","-1,20%"
"24.02.2010","12,42","12,53","12,74","12,27","827,95K","0,16%"
"25.02.2010","12,20","12,27","12,27","12,07","988,56K","-1,77%"
"26.02.2010","12,02","12,27","12,31","11,90","737,25K","-1,48%"
"01.03.2010","12,42","12,24","12,45","12,20","1,25M","3,33%"
"02.03.2010","12,60","12,47","12,77","12,47","927,54K","1,45%"
"03.03.2010","12,84","12,73","13,03","12,54","1,93M","1,90%"
"04.03.2010","12,92","12,95","13,06","12,76","1,01M","0,62%"
"05.03.2010","12,91","13,02","13,07","12,77","820,08K","-0,08%"
"08.03.2010","12,66","13,03","13,06","12,62","1,14M","-1,94%"
"09.03.2010","12,59","12,47","12,70","12,42","1,72M","-0,55%"
"10.03.2010","12,68","12,70","12,96","12,68","1,08M","0,71%"
"11.03.2010","12,74","12,73","12,93","12,68","728,76K","0,47%"
"12.03.2010","12,59","12,96","12,97","12,59","794,39K","-1,18%"
"15.03.2010","12,75","12,51","12,81","12,48","847,76K","1,27%"
"16.03.2010","12,85","12,67","12,90","12,64","800,05K","0,78%"
"17.03.2010","13,06","12,85","13,15","12,80","1,23M","1,63%"
"18.03.2010","12,96","13,08","13,17","12,83","1,20M","-0,77%"
"19.03.2010","13,02","12,96","13,14","12,90","890,71K","0,46%"
"22.03.2010","13,09","13,07","13,39","12,88","1,57M","0,54%"
"23.03.2010","13,09","13,24","13,33","13,01","1,23M","0,00%"
"24.03.2010","13,01","13,03","13,28","12,81","1,14M","-0,61%"
"25.03.2010","13,08","13,02","13,19","12,93","814,35K","0,54%"
"26.03.2010","13,30","13,08","13,46","13,07","1,45M","1,68%"
"29.03.2010","13,37","13,42","13,51","13,35","1,55M","0,53%"
"30.03.2010","13,30","13,46","13,51","13,17","1,37M","-0,52%"
"31.03.2010","13,37","13,36","13,50","13,29","2,01M","0,53%"
"01.04.2010","13,10","13,37","13,61","13,06","2,41M","-2,02%"
"05.04.2010","13,34","13,22","13,39","13,12","1,37M","1,83%"
"06.04.2010","13,44","13,16","13,68","13,15","1,88M","0,75%"
"07.04.2010","13,62","13,43","13,66","13,36","1,58M","1,34%"
"08.04.2010","13,37","13,59","13,65","13,28","1,85M","-1,84%"
"09.04.2010","13,14","13,37","13,44","13,00","1,84M","-1,72%"
"12.04.2010","13,11","13,15","13,22","13,04","903,01K","-0,23%"
"13.04.2010","13,20","13,23","13,31","12,84","1,30M","0,69%"
"14.04.2010","13,03","13,25","13,38","13,03","1,28M","-1,29%"
"15.04.2010","13,25","13,05","13,38","13,04","1,43M","1,69%"
"16.04.2010","13,00","13,21","13,36","12,99","1,36M","-1,89%"
"19.04.2010","12,99","12,92","13,07","12,71","951,82K","-0,08%"
"20.04.2010","13,14","12,99","13,25","12,92","1,62M","1,15%"
"22.04.2010","13,46","12,94","13,46","12,93","1,58M","2,44%"
"23.04.2010","13,75","13,38","13,75","13,30","1,68M","2,15%"
"26.04.2010","13,25","13,70","13,79","13,25","3,34M","-3,64%"
"27.04.2010","13,09","13,27","13,29","12,97","1,76M","-1,21%"
"28.04.2010","13,34","13,22","13,40","13,09","1,61M","1,91%"
"29.04.2010","13,70","13,34","13,90","13,34","2,02M","2,70%"
"30.04.2010","13,66","13,63","13,85","13,59","2,05M","-0,29%"
"03.05.2010","13,77","14,06","14,07","13,65","1,68M","0,81%"
"04.05.2010","13,60","13,54","13,80","13,50","1,82M","-1,23%"
